slab_units,rate_pkr_per_unit,income_tier,monthly_income_pkr_range,trust_weight_proxy,source,scraped_date
0-50,3.95,lifeline,0-15000,0.1,NEPRA_Determination_TRF419_2024,2026-05-17
1-100,13.99,very_low,15000-25000,0.2,NEPRA_Determination_TRF419_2024,2026-05-17
101-200,26.97,low,25000-35000,0.3,NEPRA_Determination_TRF419_2024,2026-05-17
201-300,39.47,lower_middle,35000-50000,0.45,NEPRA_Determination_TRF419_2024,2026-05-17
301-400,45.58,middle,50000-70000,0.6,NEPRA_Determination_TRF419_2024,2026-05-17
401-500,50.31,upper_middle,70000-100000,0.7,NEPRA_Determination_TRF419_2024,2026-05-17
501-700,53.56,high,100000-150000,0.8,NEPRA_Determination_TRF419_2024,2026-05-17
700+,55.24,affluent,150000+,0.9,NEPRA_Determination_TRF419_2024,2026-05-17
